Year,Mean_N,Std_N,Min_N,Max_N,CV_percent
2010,320.91720991665613,44.36424285593512,227.8636556334807,392.59736105116633,13.824201845534162
2011,317.41160768676514,43.66621001975297,231.0649491066817,389.2895428648536,13.756966967271273
2012,313.38708811045325,45.7802345249349,227.36904015434973,393.9341865936246,14.608206994411862
2013,318.13693650857704,43.567752696161875,228.02940374207532,388.8456635149139,13.694653998463735
2014,316.1341581005315,43.562374340990225,225.80651619112348,393.6680396963943,13.779711310771193
2015,317.3802853624666,43.040851823628564,226.9237961442838,393.46773844184145,13.56128713996001
2016,315.4276842644545,45.91442717619584,225.9590709029571,395.84163609498745,14.556245208236444
2017,317.1542244983954,45.13107385999879,228.32609201162077,395.99656980843275,14.230008738296698
2018,314.9731723798183,43.89120478012994,232.64029425794632,393.5750626663772,13.934902597736997
2019,319.5501292500049,45.15120743888512,230.20684475446984,390.72944510038644,14.129616390660383
2020,322.0305561339604,42.131090986988426,229.29735404239824,395.2276879557278,13.082948243415279
2021,321.39767605544574,41.73635747727304,230.09178550705946,393.0999826763789,12.985892738711936
2022,316.5562648443888,44.3940194887807,228.02206735466717,395.64815204800027,14.024053357656245
2023,317.1518605857788,43.70618879234306,225.66242822031333,398.2951008196843,13.78083947280581
2024,319.2304710247327,45.49998690382763,229.5998261796007,400.27051501182154,14.253021260085937
2025,318.01506244572147,45.20262985576932,231.93086630511797,394.5291240937513,14.213990214216492
