Year,Sub_refraction,Super_refraction,Ducting
2010,2.9661016949152543,93.22033898305085,3.8135593220338984
2011,0.847457627118644,98.30508474576271,0.847457627118644
2012,0.847457627118644,98.72881355932203,0.423728813559322
2013,2.542372881355932,96.61016949152543,0.847457627118644
2014,3.389830508474576,94.49152542372882,2.1186440677966103
2015,2.9661016949152543,96.61016949152543,0.423728813559322
2016,2.1186440677966103,93.64406779661017,4.237288135593221
2017,1.694915254237288,96.61016949152543,1.694915254237288
2018,2.542372881355932,94.0677966101695,3.389830508474576
2019,0.847457627118644,95.76271186440678,3.389830508474576
2020,0.847457627118644,97.03389830508475,2.1186440677966103
2021,2.9661016949152543,94.0677966101695,2.9661016949152543
2022,1.271186440677966,94.91525423728814,3.8135593220338984
2023,1.694915254237288,96.61016949152543,1.694915254237288
2024,2.542372881355932,94.0677966101695,3.389830508474576
2025,0.847457627118644,94.49152542372882,4.661016949152542
